Station Name,Station Id,State Name,Elevation,Latitude,Longitude
Madison Plateau,609,MONTANA,7750,44.58623,-111.11627
Mammoth-Cottonwood,612,UTAH,8709,39.68338,-111.31818
Mancos,905,COLORADO,10000,37.43087,-108.16954
Marlette Lake,615,NEVADA,7884,39.16395,-119.89672
Marquette,616,WYOMING,8760,44.3016,-109.24019
Maverick Fork,617,ARIZONA,9200,33.92121,-109.45881
Mc Clure Pass,618,COLORADO,9500,39.12897,-107.28806
Mccoy Park,1040,COLORADO,9480,39.60468,-106.54128
Mcknight Cabin,1048,NEW MEXICO,9240,33.00812,-107.86975
Meadow Lake,620,IDAHO,9150,44.43655,-113.31815
Med Bow,1196,WYOMING,10500,41.37833,-106.34681
Medano Pass,914,COLORADO,9649,37.85164,-105.43614
Merchant Valley,621,UTAH,8705,38.30285,-112.43637
Mesa Lakes,622,COLORADO,10000,39.05831,-108.05835
Michigan Creek,937,COLORADO,10600,39.43577,-105.91078
Middle Creek,624,COLORADO,11250,37.61978,-107.03482
Middle Fork Camp,1014,COLORADO,8940,39.7956,-106.0273
Middle Powder,625,WYOMING,7760,43.62728,-107.18138
